meldcode;fabrikant;model;vermogen_kw;naam_koudemiddel;gwp;categorie;subsidiebedrag_2024;subsidiebedrag_2025;bron_2024_url;bron_2025_url;confidence_2024;confidence_2025;match_methode;datum_opgehaald
KA17970;Mitsubishi Electric;PUZ-WM112YAA + ERPT20X-VM2(D/E);9.0;R032;675;Lucht-Water;3525.0;3250.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17970-mitsubishi-electric-puz-wm112yaa-erpt20x-vm2de;https://www.rvo.nl/meldcodes-warmtepompen/ka17970-mitsubishi-electric-puz-wm112yaa-erpt20x-vm2de;0.95;0.95;meldcode;2026-03-27
KA17973;Hitachi;Multi Yutampo RAM-53/70-NYPxE + TAW270RHC;0.0;R032;675;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17973-hitachi-multi-yutampo-ram-5370-nypxe-taw270rhc;https://www.rvo.nl/meldcodes-warmtepompen/ka17973-hitachi-multi-yutampo-ram-5370-nypxe-taw270rhc;0.95;0.95;meldcode;2026-03-27
KA17976;Ferroli;EGEA 120 LT;0.0;R290 (Propaan);3;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17976-ferroli-egea-120-lt;https://www.rvo.nl/meldcodes-warmtepompen/ka17976-ferroli-egea-120-lt;0.95;0.95;meldcode;2026-03-27
KA17985;Mitsubishi Electric;PUHZ-SHW112 YAA + EHST20C-VM2D;12.0;R410A;2088;Lucht-Water;3750.0;3725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17985-mitsubishi-electric-puhz-shw112-yaa-ehst20c-vm2d;https://www.rvo.nl/meldcodes-warmtepompen/ka17985-mitsubishi-electric-puhz-shw112-yaa-ehst20c-vm2d;0.95;0.95;meldcode;2026-03-27
KA17986;Thermia;iTec 8 Eco;7.0;R032;675;Lucht-Water;3225.0;2800.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17986-thermia-itec-8-eco;https://www.rvo.nl/meldcodes-warmtepompen/ka17986-thermia-itec-8-eco;0.95;0.95;meldcode;2026-03-27
KA17988;Keyter;KWE 5090 I-H;59.0;R410A;2088;Lucht-Water;11025.0;14500.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17988-keyter-kwe-5090-i-h;https://www.rvo.nl/meldcodes-warmtepompen/ka17988-keyter-kwe-5090-i-h;0.95;0.95;meldcode;2026-03-27
KA17989;Atlantic;ALFEA EXTENSA DUO A.I. 6 R32;5.0;R032;675;Lucht-Water;2925.0;2350.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17989-atlantic-alfea-extensa-duo-ai-6-r32;https://www.rvo.nl/meldcodes-warmtepompen/ka17989-atlantic-alfea-extensa-duo-ai-6-r32;0.95;0.95;meldcode;2026-03-27
KA17990;Viessmann;Vitocal 262-A T2W-ze;0.0;R1234ze;7;Warmtepompboiler;725.0;725.0;https://www.rvo.nl/meldcodes-warmtepompen/ka17990-viessmann-vitocal-262-t2w-ze;https://www.rvo.nl/meldcodes-warmtepompen/ka17990-viessmann-vitocal-262-t2w-ze;0.95;0.95;meldcode;2026-03-27
KA18004;Viessmann;Vitocal 300-G BWC 301.C16;15.0;R410A;2088;Grond-Water;5175.0;5175.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18004-viessmann-vitocal-300-g-bwc-301c16;https://www.rvo.nl/meldcodes-warmtepompen/ka18004-viessmann-vitocal-300-g-bwc-301c16;0.95;0.95;meldcode;2026-03-27
KA18006;Atlantic;ALFEA EXTENSA A.I. 6 R32;5.0;R032;675;Lucht-Water;2925.0;2350.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18006-atlantic-alfea-extensa-ai-6-r32;https://www.rvo.nl/meldcodes-warmtepompen/ka18006-atlantic-alfea-extensa-ai-6-r32;0.95;0.95;meldcode;2026-03-27
KA18578;Daikin;EPGA11DV + EAVX16S23D6V;13.0;R032;675;Lucht-Water;3900.0;3950.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18578-daikin-epga11dv-eavx16s23d6v;https://www.rvo.nl/meldcodes-warmtepompen/ka18578-daikin-epga11dv-eavx16s23d6v;0.95;0.95;meldcode;2026-03-27
KA18624;Daikin;EPGA11DV + EAVX16S18D6V;13.0;R032;675;Lucht-Water;3900.0;3950.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18624-daikin-epga11dv-eavx16s18d6v;https://www.rvo.nl/meldcodes-warmtepompen/ka18624-daikin-epga11dv-eavx16s18d6v;0.95;0.95;meldcode;2026-03-27
KA18889;Bosch;Compress 3800i EW 9;1.0;R134A;1430;Lucht-Water;2100.0;1250.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18889-bosch-compress-3800i-ew-9;https://www.rvo.nl/meldcodes-warmtepompen/ka18889-bosch-compress-3800i-ew-9;0.95;0.95;meldcode;2026-03-27
KA18893;GREE;GRS-CQ6.0Pd/NhG-K;5.0;R032;675;Lucht-Water;2775.0;2150.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18893-gree-grs-cq60pdnhg-k;https://www.rvo.nl/meldcodes-warmtepompen/ka18893-gree-grs-cq60pdnhg-k;0.95;0.95;meldcode;2026-03-27
KA18894;GREE;GRS-CQ8.0Pd/NhG-K;6.0;R032;675;Lucht-Water;2925.0;2375.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18894-gree-grs-cq80pdnhg-k;https://www.rvo.nl/meldcodes-warmtepompen/ka18894-gree-grs-cq80pdnhg-k;0.95;0.95;meldcode;2026-03-27
KA18895;Daikin;EBLA09D(3)W1;9.0;R032;675;Lucht-Water;3525.0;3250.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18895-daikin-ebla09d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18895-daikin-ebla09d3w1;0.95;0.95;meldcode;2026-03-27
KA18896;Daikin;EBLA11D(3)W1;10.0;R032;675;Lucht-Water;3675.0;3475.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18896-daikin-ebla11d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18896-daikin-ebla11d3w1;0.95;0.95;meldcode;2026-03-27
KA18897;Daikin;EBLA14D(3)W1;11.0;R032;675;Lucht-Water;3825.0;3700.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18897-daikin-ebla14d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18897-daikin-ebla14d3w1;0.95;0.95;meldcode;2026-03-27
KA18898;Daikin;EBLA16D(3)W1;12.0;R032;675;Lucht-Water;3975.0;3925.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18898-daikin-ebla16d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18898-daikin-ebla16d3w1;0.95;0.95;meldcode;2026-03-27
KA18899;Daikin;EDLA09D(3)W1;9.0;R032;675;Lucht-Water;3525.0;3250.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18899-daikin-edla09d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18899-daikin-edla09d3w1;0.95;0.95;meldcode;2026-03-27
KA18900;Daikin;EDLA11D(3)W1;10.0;R032;675;Lucht-Water;3675.0;3475.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18900-daikin-edla11d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18900-daikin-edla11d3w1;0.95;0.95;meldcode;2026-03-27
KA18901;Daikin;EDLA14D(3)W1;11.0;R032;675;Lucht-Water;3825.0;3700.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18901-daikin-edla14d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18901-daikin-edla14d3w1;0.95;0.95;meldcode;2026-03-27
KA18902;Daikin;EDLA16D(3)W1;12.0;R032;675;Lucht-Water;3975.0;3925.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18902-daikin-edla16d3w1;https://www.rvo.nl/meldcodes-warmtepompen/ka18902-daikin-edla16d3w1;0.95;0.95;meldcode;2026-03-27
KA18905;Mitsubishi Electric;PUHZ-SW100YAA + EHST30C-VM2ED;9.0;R410A;2088;Lucht-Water;3300.0;3050.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18905-mitsubishi-electric-puhz-sw100yaa-ehst30c-vm2ed;https://www.rvo.nl/meldcodes-warmtepompen/ka18905-mitsubishi-electric-puhz-sw100yaa-ehst30c-vm2ed;0.95;0.95;meldcode;2026-03-27
KA18906;Mitsubishi Electric;PUHZ-SW100YAA + ERST30C-VM2ED;9.0;R410A;2088;Lucht-Water;3300.0;3050.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18906-mitsubishi-electric-puhz-sw100yaa-erst30c-vm2ed;https://www.rvo.nl/meldcodes-warmtepompen/ka18906-mitsubishi-electric-puhz-sw100yaa-erst30c-vm2ed;0.95;0.95;meldcode;2026-03-27
KA18910;Mitsubishi Electric;PUHZ-SW160YKA + EHSE-YM9ED;14.0;R410A;2088;Lucht-Water;4050.0;4175.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18910-mitsubishi-electric-puhz-sw160yka-ehse-ym9ed;https://www.rvo.nl/meldcodes-warmtepompen/ka18910-mitsubishi-electric-puhz-sw160yka-ehse-ym9ed;0.95;0.95;meldcode;2026-03-27
KA18982;Itho Daalderop;WPU 65 C 5G;6.0;R134A;1430;Water-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18982-itho-daalderop-wpu-65-c-5g;https://www.rvo.nl/meldcodes-warmtepompen/ka18982-itho-daalderop-wpu-65-c-5g;0.95;0.95;meldcode;2026-03-27
KA18984;Itho Daalderop;WPU 65 KC 5G;6.0;R134A;1430;Water-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18984-itho-daalderop-wpu-65-kc-5g;https://www.rvo.nl/meldcodes-warmtepompen/ka18984-itho-daalderop-wpu-65-kc-5g;0.95;0.95;meldcode;2026-03-27
KA18985;Itho Daalderop;WPU 75 C 5G;7.0;R134A;1430;Water-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18985-itho-daalderop-wpu-75-c-5g;https://www.rvo.nl/meldcodes-warmtepompen/ka18985-itho-daalderop-wpu-75-c-5g;0.95;0.95;meldcode;2026-03-27
KA18987;Itho Daalderop;WPU 75 KC 5G;7.0;R134A;1430;Water-Water;4425.0;4425.0;https://www.rvo.nl/meldcodes-warmtepompen/ka18987-itho-daalderop-wpu-75-kc-5g;https://www.rvo.nl/meldcodes-warmtepompen/ka18987-itho-daalderop-wpu-75-kc-5g;0.95;0.95;meldcode;2026-03-27
KA19021;MAXA Advantix;i-32V5 08;7.0;R032;675;Lucht-Water;3225.0;2800.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19021-maxa-advantix-i-32v5-08;https://www.rvo.nl/meldcodes-warmtepompen/ka19021-maxa-advantix-i-32v5-08;0.95;0.95;meldcode;2026-03-27
KA19069;Weishaupt/Monarch;WBB 20-A-RMD-AI;14.0;R410A;2088;Lucht-Water;4275.0;4375.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19069-weishauptmonarch-wbb-20-rmd-ai;https://www.rvo.nl/meldcodes-warmtepompen/ka19069-weishauptmonarch-wbb-20-rmd-ai;0.95;0.95;meldcode;2026-03-27
KA19079;Inventum;Modul-AIR Red 5.0;5.0;R032;675;Lucht-Water;2925.0;2350.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19079-inventum-modul-air-red-50;https://www.rvo.nl/meldcodes-warmtepompen/ka19079-inventum-modul-air-red-50;0.95;0.95;meldcode;2026-03-27
KA19285;Airwell;AW-WHPMA04-H91;5.0;R032;675;Lucht-Water;2925.0;2350.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19285-airwell-aw-whpma04-h91;https://www.rvo.nl/meldcodes-warmtepompen/ka19285-airwell-aw-whpma04-h91;0.95;0.95;meldcode;2026-03-27
KA19286;Airwell;AW-WHPMA06-H91;6.0;R032;675;Lucht-Water;3075.0;2575.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19286-airwell-aw-whpma06-h91;https://www.rvo.nl/meldcodes-warmtepompen/ka19286-airwell-aw-whpma06-h91;0.95;0.95;meldcode;2026-03-27
KA19287;Airwell;AW-WHPMA08-H91;7.0;R032;675;Lucht-Water;3225.0;2800.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19287-airwell-aw-whpma08-h91;https://www.rvo.nl/meldcodes-warmtepompen/ka19287-airwell-aw-whpma08-h91;0.95;0.95;meldcode;2026-03-27
KA19288;Airwell;AW-WHPMA10-H91;8.0;R032;675;Lucht-Water;3375.0;3025.0;https://www.rvo.nl/meldcodes-warmtepompen/ka19288-airwell-aw-whpma10-h91;https://www.rvo.nl/meldcodes-warmtepompen/ka19288-airwell-aw-whpma10-h91;0.95;0.95;meldcode;2026-03-27
